Company,Total Complaints,Average Severity
eToro USA LLC,65,1.0461538461538462
Agency of Credit Control,65,1.0615384615384615
Rodenburg LLP,65,1.0615384615384615
"Razor Capital, LLC",65,1.0769230769230769
"Scheer, Green & Burke L.P.A.",65,1.1076923076923078
"ClearOne Advantage, LLC",65,1.123076923076923
SAN DIEGO COUNTY CREDIT UNION,65,1.123076923076923
"Law Offices of Hayt, Hayt & Landau, LLC",65,1.1538461538461537
"Kross, Lieberman & Stone, Inc.",65,1.2307692307692308
National Check Resolution Inc.,65,1.353846153846154
"SFS, Inc",65,1.4153846153846155
"Red Cedar Services, Inc",65,1.4923076923076923
"The Affiliated Group, Inc",65,1.876923076923077
"Independent Recovery Resources, Inc.",65,1.9076923076923078
Credit Fresh Holdings Inc,64,1.0
"Credit Technology, Inc.",64,1.0
"General Information Services, Inc",64,1.0
"HONOR FINANCE, LLC",64,1.015625
"Credit Bureau of the South, Inc.",64,1.03125
UNITED GUARANTY CORPORATION,64,1.046875
"Talbot, Adams, & Moore, Inc.",64,1.078125
Advance Bureau of Collections,64,1.109375
"Recovery Partners, LLC",64,1.109375
Mediation Recovery Center,64,1.15625
ALTERNATIVE DISPUTE RESOLUTIONS,64,2.0
Midwestern Health Management INC,63,1.0
"CREDIT WORLD SERVICES, INC.",63,1.0158730158730158
Garrison Investment Group,63,1.0158730158730158
InDebted Corporation,63,1.0476190476190477
Mutual Management Services LLC,63,1.0476190476190477
EASTERN BANKSHARES INC,63,1.1904761904761905
Security National Financial Corp,63,1.1904761904761905
"North American Asset Services, LLC",63,1.380952380952381
"QuickClick Loans of Illinois, LLC",63,1.6666666666666667
Southwest Stage Funding,62,1.032258064516129
"Orion Portfolio Services, LLC",62,1.0483870967741935
Partners Financial Services Inc,62,1.2096774193548387
Armcon Corp,62,1.2741935483870968
CONDOR CAPITAL CORP,62,1.6451612903225807
"Fairway Capital Recovery, LLC",61,1.0
"National Medical Administrators, Inc",61,1.0
"Works & Lentz of Tulsa, Inc.",61,1.0
"General Service Bureau, Inc.",61,1.0163934426229508
Law Office of Harris & Zide,61,1.0163934426229508
GENERATION MORTGAGE COMPANY,61,1.0327868852459017
Merchants Acceptance Corp,61,1.0327868852459017
Kovo,61,1.0491803278688525
"Columbia Collection Service, Inc.",61,1.0655737704918034
Collection Technology Incorporated,61,1.0819672131147542
"MAS FINANCIAL SERVICES, INC.",61,1.0819672131147542
South Carolina Student Loan Corp,61,1.0819672131147542
"ULRS, Inc.",61,1.0819672131147542
Crossroads Systems Inc.,61,1.098360655737705
"Charlottesville Bureau of Credits, Inc",61,1.1311475409836065
INTERFIRST MORTGAGE COMPANY,61,1.1639344262295082
United Credit and Collections Inc.,61,1.1967213114754098
"Brennan & Clark, Ltd., LLC",61,1.2459016393442623
"CU Recovery, Inc.",61,1.360655737704918
"Citi Management Group, LLC",61,1.4426229508196722
"Global Asset Management Group, Inc.",61,1.6065573770491803
"AppFolio, Inc.",60,1.0
"TEXAS CAPITAL BANCSHARES, INC.",60,1.0
Credit International Corporation,60,1.0166666666666666
Premier Auto Credit,60,1.0166666666666666
"Williams, Alexander & Associates, Inc",60,1.05
"Credit Clearing House of America, Inc.",60,1.15
"Northeast Recovery Solutions, LLC",60,1.45
LHR Inc.,60,1.7666666666666666
ABR Recovery Services LLC.,59,1.0169491525423728
Uber Technologies Inc.,59,1.2542372881355932
"Global Portfolio Recovery, LLC",59,1.9152542372881356
Centron Services,58,1.0
Eaton Group Attorneys LLC,58,1.0
Guglielmo and Associates,58,1.0
"Law Offices of Robert A. Schuerger Co., LPA",58,1.0
Celsius US Holding LLC,58,1.0172413793103448
"United Recovery Group, LLC (Closed)",58,1.0172413793103448
UNITED AUTO ACCEPTANCE,58,1.0344827586206897
"Collection Associates, Ltd.",58,1.0689655172413792
"Michael Harrison, Attorney at Law",58,1.1379310344827587
"Nathan & Nathan, P.C.",58,1.1379310344827587
"Dominion Law Associates, P.L.L.C.",58,1.1551724137931034
RELIANCE FIRST CAPITAL LLC,58,1.4310344827586208
Earm LLC,58,1.9310344827586208
Forest Recovery Services LLC,57,1.0175438596491229
"Express Collections, Inc.",57,1.0350877192982457
"Motolease, LLC",57,1.0526315789473684
"Mid-America Accounts Control Bureau, Inc.",57,1.0701754385964912
Turner Acceptance Corp.,57,1.0701754385964912
Essential Lending Inc,57,1.1403508771929824
"Malen & Associates, p.c.",57,1.1403508771929824
"The Law Offices of Gerald E Moore & Associates, PC",57,1.1578947368421053
AG AH LLC,57,1.368421052631579
"A & O Recovery Solutions, LLC",57,2.0
"Avantus, LLC",56,1.0
LCS FINANCIAL SERVICES CORPORATION,56,1.0
PCR Group,56,1.0
"Titan Receivables, Inc.",56,1.0
WESTSTAR MORTGAGE CORPORATION,56,1.0357142857142858
"Clear Recovery, Inc.",56,1.0892857142857142
Reliant Financial Corporation,56,1.1785714285714286
CARVANT FINANCIAL LLC,56,1.2321428571428572
FIRST MORTGAGE CORPORATION,56,1.4464285714285714
Optima Recovery Services LLC.,56,1.5178571428571428
Nationwide Financial Group,56,1.5357142857142858
"AA Recovery Solutions, Inc.",55,1.0
Four Directions Lending LLC,55,1.0
"Bayside Capital Services, LLC",55,1.018181818181818
Glacier Bancorp Inc.,55,1.018181818181818
"MJ Altman Companies, Inc.",55,1.018181818181818
California Accounts Service,55,1.0363636363636364
"Figure Technologies, Inc",55,1.0363636363636364
"Auto Now Financial Services, Inc., Phoenix, AZ Branch",55,1.0545454545454545
"Deinde Online Services, LLC",55,1.0545454545454545
"HOPE BANCORP, INC.",55,1.0727272727272728
"Flexible Finance, Inc.",55,1.1454545454545455
"Carolina Finance, LLC",55,1.2363636363636363
HOMESTAR FINANCIAL CORPORATION,55,1.2727272727272727
"Consolidated Management Group, LLC",55,1.3272727272727274
"National Auto Lenders, Inc.",55,1.3272727272727274
"Liberty Holdings, LLC",55,1.6
Roycroft Management,55,1.6
Express Aviation,55,1.9090909090909092
"First Recovery Solutions, Inc.",55,2.0
"Rickart Collection Systems, Inc.",54,1.0
"Praxis Financial Solutions, Incorporated",54,1.0185185185185186
"CARS Acquisition, LLC",54,1.037037037037037
Denefits LLC,54,1.037037037037037
United Group Inc.,54,1.0555555555555556
"PINNACLE FINANCIAL PARTNERS, INC.",54,1.0740740740740742
"McNeil & Meyers Asset Management Group, LLC",54,1.0925925925925926
"Results Unlimited, Inc.",54,1.0925925925925926
SecurityNational Mortgage Company,54,1.1111111111111112
"Collection Bureau Services, Inc.",54,1.1666666666666667
"Long & Foster Financial Services, Inc.",54,1.1851851851851851
Hatfield Portfolio Group LLC.,54,1.2222222222222223
Kirkland Asset Management LLC,54,1.2777777777777777
"BAM Financial, LLC",54,1.3148148148148149
"Acceptance Rentals, Inc.",54,1.4444444444444444
Audit & Adjustment Co. Inc.,53,1.0
"BUDGET CONTROL SERVICES, INC.",53,1.0
Credit Service International Corp,53,1.0
Driveway Finance Corporation,53,1.0
Larry H. Miller Group of Companies,53,1.0
Richland Bureau of Credits Medical Service Bureau Inc.,53,1.0
"Synter Resource Group, LLC.",53,1.0
Vericred Solutions LLC,53,1.0
"CARCO Group, Inc.",53,1.0188679245283019
"Heritage Financial Group, Inc.",53,1.0188679245283019
Professional Collection Service Inc (GA),53,1.0188679245283019
"Stephen Einstein & Associates, P.C.",53,1.0188679245283019
"GB Collects, LLC",53,1.0377358490566038
"Healthcare Management, LLC",53,1.0377358490566038
"Resolve Partners, LLC",53,1.0377358490566038
"Uprova Credit, LLC",53,1.0377358490566038
ZuntaFi Corp,53,1.0377358490566038
Transcontinental Credit & Collection Corp,53,1.0566037735849056
"Certified Services, Inc.",53,1.0754716981132075
Affiliated Acceptance Corporation,53,1.1132075471698113
"NFM, INC",53,1.150943396226415
CSO Financial,53,1.1886792452830188
"OUT TECH, INC.",53,1.5660377358490567
Accounts Receivable Inc.,52,1.0
"Credit Bureau of Lancaster County, Inc.",52,1.0
"Merchants Credit Bureau, Inc.",52,1.0
Wolf River Development Company,52,1.0
"CBM Services, Inc.",52,1.0192307692307692
ClearPath Lending,52,1.0192307692307692
"Credit Management Services, Inc.",52,1.0192307692307692
Hewitt-Capital,52,1.0576923076923077
"Ragan & Ragan, PC",52,1.0576923076923077
"J.S Resolution Group, Inc.",52,1.0769230769230769
Chaplain Financial Services LLC,52,1.2115384615384615
National Arbitration Forum,52,1.25
WATERSTONE MORTGAGE CORPORATION,52,1.25
GLOBAL SOLUTION BIZ LLC.,51,1.0
"Hiday & Ricke, P.A.",51,1.0
"Specialized Collection Systems, Inc.",51,1.0
"Consumer Financial Services Solutions, Inc.",51,1.0196078431372548
"McCullough Payne & Haan, LLC",51,1.0196078431372548
"Professional Credit Analysts of MN, Inc.",51,1.0196078431372548
"The Leviton Law Firm, Ltd.",51,1.0196078431372548
Statewide Credit Services Corp.,51,1.0392156862745099
"Systematic National Collection, Inc.",51,1.0392156862745099
United Acceptance Inc.,51,1.0588235294117647
OCEANSIDE MORTGAGE COMPANY,51,1.0980392156862746
"Continental Central Credit, Inc.",51,1.1176470588235294
Primary Financial Services L.L.C.,51,1.1176470588235294
"GMFS, LLC",51,1.1372549019607843
INDEPENDENT BANK CORP.,51,1.2156862745098038
PACIFIC WESTERN BANK,51,1.2156862745098038
"WYNDHAM CAPITAL MORTGAGE, INC.",51,1.2745098039215685
"Jonathan Neil & Associates, Inc",51,1.3725490196078431
Fedloan Help,51,1.8823529411764706
"CARMEL FINANCIAL CORPORATION, INC.",50,1.0
DRS Financial LLC,50,1.0
"Delivery Financial Services, LLC",50,1.0
"Mary Jane M. Elliott, P.C. Attorneys At Law",50,1.0
Account Brokers Inc.,50,1.02
"DCI Credit Services, Inc.",50,1.02
RockLoans Holdings LLC,50,1.02
"Gragil Associates, Inc.",50,1.04
We Collect Inc,50,1.06
Debt Management Incorporated,50,1.08
"Solutions To Portfolios, LLC",50,1.08
Cooper Hoffman Klein Associates,50,1.1
"BOGMAN, INC",50,1.14
On Q Financial,50,1.16
"Account Recovery Specialists, Inc.",50,1.18
AmeriFirst Financial Corporation,50,1.22
Paul Michael Marketing Service,50,1.22
"Campus Student Funding, LLC",50,1.34
"MarkOne Holdings, LLC",50,1.62
"Rubin & Yates, LLC",50,1.8
Integrated Asset Recovery LLC,50,2.0
"Midwest Service Bureau, Inc.",49,1.0
"Special Financing Company, LLC",49,1.0
Couch Conville & Blitt LLC,49,1.0204081632653061
MNS & Associates LLC,49,1.0204081632653061
"Roadrunner Account Services, LLC",49,1.0204081632653061
Broward Adjustment Services,49,1.0408163265306123
"Apothaker & Associates, PC",49,1.0612244897959184
"Resurgence Legal Group, PC",49,1.0612244897959184
SOUTHWEST COLLECTION SERVICES INC.,49,1.0612244897959184
"Valarity, LLC",49,1.0612244897959184
CHALLENGE FINANCIAL SERVICES,49,1.1020408163265305
"Coastline Financial Resources, LLC",49,1.1020408163265305
"Collection Receivables, Inc.",49,1.1020408163265305
"Richard Sokoloff, Attorney At Law",49,1.2244897959183674
"Bridge It, Inc.",49,1.2448979591836735
GLOBAL CREDIT UNION,49,1.2448979591836735
"Legal Recovery Law Offices, Inc",49,1.2653061224489797
Armor Systems Corporation,49,1.530612244897959
Credit Wise Recovery Solution LLC,49,1.9591836734693877
"Compass Recovery Group, LLC",48,1.0
"NCP Holdings, L.P.",48,1.0
Signature Bank (NY),48,1.0
Assured Financial Partners,48,1.0208333333333333
CADENCE BANCORPORATION,48,1.0208333333333333
Certified Credit & Collection Bureau,48,1.0208333333333333
"RMB, Inc.",48,1.0208333333333333
The Aligned Company DBA Extra,48,1.0208333333333333
"The Savings Group, Inc.",48,1.0208333333333333
"Arivo Acceptance, LLC",48,1.0416666666666667
"Capital Credit and Collection Service, Inc.",48,1.0416666666666667
"United Check Recovery Bureau, Inc.",48,1.0625
"Lazarus Financial Group, Inc.(Closed)",48,1.125
"ALEXANDER-ROSE ASSOC, INC.",48,1.1666666666666667
"Ark-La-Tex Financial Services, LLC",48,1.1666666666666667
Bureau of Accounts Control,48,1.7083333333333333
Midwest Acceptance Corp.,47,1.0
"RevMD Partners, LLC.",47,1.0
"Collection Resources, Inc.",47,1.0212765957446808
"National Account Systems of Omaha, LLC",47,1.0212765957446808
Professional Receivables Network,47,1.0425531914893618
"WATERMARK CAPITAL, INC.",47,1.0425531914893618
Convergys,47,1.0638297872340425
WESTERN ALLIANCE BANCORPORATION,47,1.0851063829787233
Vermont Student Assistance Corporation,47,1.1063829787234043
CIBC BANCORP USA INC.,47,1.127659574468085
MLD MORTGAGE INC,47,1.148936170212766
"Panorama Mortgage Group, LLC",47,1.148936170212766
"RAB, INC.",47,1.148936170212766
Trans-Fast Remittance LLC,47,1.1914893617021276
Newport Intermediate Inc.,47,1.4042553191489362
"Interstate Recovery Service, Inc.",47,1.4680851063829787
Northeast Collection Bureau,47,1.6382978723404256
Flandreau Santee Sioux Tribe,46,1.0
"JMD,LLC",46,1.0
"New Era Asset Management, LLC",46,1.0
Orion Capital Solutions LLC,46,1.0
EDvantage LLC,46,1.0217391304347827
"Keith D. Weiner & Associates Co., L.P.A.",46,1.0217391304347827
"Skagit Bonded Collectors, LLC",46,1.0217391304347827
"Professional Recovery Consultants, Inc.",46,1.0434782608695652
Home American Mortgage Corp,46,1.0869565217391304
Mid-Atlantic Consumer Services,46,1.1304347826086956
Main Street Personal Finance,46,1.1956521739130435
"IMC Capital, LLC",46,1.891304347826087
"Data Search NY, Inc.",45,1.0
"Pro Com Services of Illinois, Inc.",45,1.0
"Round Up Ventures, L.P.",45,1.0
"Tromberg, Morris & Poulin, PLLC",45,1.0222222222222221
"Wallace Management Company, LLC",45,1.0222222222222221
Element Global Services,45,1.0444444444444445
Evergreen Financial Services Inc.,45,1.0444444444444445
"Live Well Financial, Inc.",45,1.0444444444444445
"CIR, Law Offices",45,1.0666666666666667
MEI AUTO FINANCE INC,45,1.0888888888888888
Mendelson Law Firm,45,1.1111111111111112
"MILLENNIUM FINANCIAL GROUP, L.L.C.",45,1.1777777777777778
"KILOWATT FINANCIAL, LLC, A SPRUCE FINANCE COMPANY",45,1.2
"Federal Pacific Credit Company, LLC",45,1.2222222222222223
DOLLAR MUTUAL BANCORP,45,1.2444444444444445
"CENTRAL BANCOMPANY, INC",45,1.288888888888889
"Adelante, Inc",45,1.4222222222222223
"Russell W Richardson, Attorney at Law",45,1.6222222222222222
"Evans Law Associates, P.C.",45,1.9333333333333333
"Allied Account Services, Inc.",44,1.0
"Dobberstein Law Firm, LLC",44,1.0
Team Recovery Inc.,44,1.0
"AUDIT SYSTEMS,INC",44,1.0227272727272727
Betterment LLC,44,1.0227272727272727
Friendly Finance Corporation,44,1.0227272727272727
South Mississippi Collection Services Inc.,44,1.0227272727272727
Abbott Osborn Jacobs PLC,44,1.0454545454545454
"Account Managers, Inc.",44,1.0454545454545454
Royal Pacific Funding Corporation,44,1.0454545454545454
"Komyatte & Casbon, P.C.",44,1.0909090909090908
Tally Technologies,44,1.1590909090909092
AMERICAN FINANCING CORPORATION,44,1.1818181818181819
"Progrexion Holdings, Inc.",44,1.2045454545454546
Fair Financial Corp.,44,1.25
USA DISCOUNTERS LTD,44,1.3409090909090908
"CAB Receivables, Inc.",44,1.3636363636363635
Meridian ARG Inc.,44,1.5
HIGHLAND FINANCIAL SERVICES (Closed),44,1.8863636363636365
"Arena Investors, LP",43,1.0
"Big City Finance, LLLP",43,1.0
"Gordon, Aylworth & Tami, P.C.",43,1.0
"H. Kent Hollins, Attorney at Law, P.A",43,1.0
"JFQ Lending, LLC",43,1.0
RateGenius Loan Services Inc,43,1.0
Loqbox US Inc,43,1.0232558139534884
"Zarzaur and Schwartz, PC",43,1.069767441860465
COLLECTION PROFESSIONALS INC (Illinois),43,1.0930232558139534
"Advanced Recovery Systems, Inc.",43,1.1162790697674418
"SOUTHSTATE BANK, N.A. - 520 GERVAIS STREET BRANCH",43,1.1162790697674418
"Asset Recovery Group, Inc.",43,1.186046511627907
"BCI FINANCIAL GROUP, INC.",43,1.186046511627907
"Valley Collection Service, LLC",43,1.2093023255813953
"Daniels Norelli Scully & Cecere, P.C.",43,1.255813953488372
"MINNESOTA LIFE INSURANCE CO., THE",43,1.3488372093023255
"Healthcare Financial Services, LLC",43,1.372093023255814
"Click n' Close, Inc.",42,1.0
"Southern Financial Systems, Inc.",42,1.0
"Unisa, Inc",42,1.0
"Collection Management Services, Inc.",42,1.0238095238095237
Falls Collection Service Inc.,42,1.0238095238095237
"Forster, Garbus and Garbus",42,1.0238095238095237
"Gold Star Finance, Inc.",42,1.0238095238095237
"Schachter Portnoy, L.L.C.",42,1.0238095238095237
Commonwealth Health Corporation,42,1.0476190476190477
"Advantage Collection Professionals, Inc.",42,1.0714285714285714
GSF MORTGAGE CORP,42,1.0952380952380953
"PACIFIC PREMIER BANCORP, INC.",42,1.0952380952380953
Student Loan Financial Assistance,42,1.119047619047619
"Coastal Financial Solutions, LLC",42,1.1428571428571428
"Credit Bureau of York, Inc.",42,1.1666666666666667
FIRST CONTINENTAL MORTGAGE LTD,42,1.1666666666666667
"GCFS, INC.",42,1.1666666666666667
"Moss Law Firm, P.C.",42,1.2142857142857142
"Emerald Canyon Capital, LLC",42,1.3333333333333333
Modern Adjustment Bureau,42,1.4285714285714286
Roquemore Holdings LLC,42,1.5476190476190477
"American Credit Resolution, Incorporated",42,1.5952380952380953
VANGUARD FUNDING LLC,42,1.9523809523809523
"Capital Alliance Financial, LLC",41,1.0
"Kenneth, Eisen & Associates, Ltd.",41,1.0
"eMoneyUSA Holdings, LLC",41,1.0
"The Law Offices of Kenosian & Miele, LLP",41,1.024390243902439
"CREDIT CONCEPTS, INC.",41,1.048780487804878
College Assist,41,1.048780487804878
MID-ISLAND MORTGAGE CORP.,41,1.048780487804878
Fleet Financial Inc.,41,1.0731707317073171
"YKS Acceptance, Inc.",41,1.0731707317073171
"BQ & Associates, P.C., L.L.O.",41,1.0975609756097562
"CHS, Inc.",41,1.0975609756097562
VANDYK MORTGAGE CORPORATION,41,1.1219512195121952
ALASKA USA FEDERAL CREDIT UNION,41,1.146341463414634
"Loan Science, LLC",41,1.146341463414634
"NCS, Inc",41,1.146341463414634
"TRUHOME SOLUTIONS, LLC",41,1.146341463414634
Direct Capital,41,1.1951219512195121
CFM Group LLC,41,1.3170731707317074
Xtreme Products LLC,41,1.6585365853658536
Alliance Recovery Group,41,2.0
"MSW Capital, LLC",40,1.0
RC Willey,40,1.0
Recovery Management Solutions LLC,40,1.0
Allegiant Capital Recovery LLC,40,1.025
"Medical Financial Services, Inc.",40,1.025
TOLL BROTHERS INC,40,1.025
VELO LAW OFFICE,40,1.025
"Affiliated Collection Services, LLC",40,1.075
COLLECTIONS UNLIMITED OF TEXAS INC,40,1.075
"GAMACHE & MYERS, PC",40,1.075
"TAYLOR MORRISON HOME FUNDING, INC.",40,1.075
Affiliated Management Services,40,1.1
Rhode Island Student Loan Authority,40,1.1
Global Tel*Link Corporation,40,1.125
"Biehl & Biehl, Inc",40,1.15
Cognition Financial Corporation,40,1.15
DTA GROUP LLC,40,1.15
"CommonBond, Inc.",40,1.175
Moneytree Inc,40,1.175
Greene & Cooper Collections LLC,40,1.225
"ONE REVERSE MORTGAGE, LLC",40,1.25
"SANDY SPRING BANCORP, INC.",40,1.25
"Regional Acquisition Group, Inc.",40,1.3
"R&R Professional Recovery, Inc.",40,1.325
"Data-Central, LLC",40,1.475
"FIRST FINANCIAL SERVICES, INC.",40,1.7
Mutual Financial Partners,40,1.775
SunTx Capital Partners,40,1.95
Advantage Financial Service LLC (Idaho),39,1.0
"Check City Partnership, LLC",39,1.0
Dividend Finance Inc.,39,1.0
"Integrity Funding Ohio, LLC",39,1.0
Lake City Credit,39,1.0
"Medical & Professional Collection Services, Inc. NC.",39,1.0
"Pioneer Credit Company, Inc",39,1.0
Snow and Sauerteig LLP,39,1.0
"West Coast Servicing, Inc.",39,1.0
CCM Finance LLC,39,1.0256410256410255
Jana Ferrell & Associates LLC,39,1.0256410256410255
"Works & Lentz, Inc",39,1.0512820512820513
"Global Asset Agency, Inc.",39,1.0769230769230769
Mission Financial Services Corporation,39,1.0769230769230769
"NEXA Mortgage, LLC",39,1.0769230769230769
"Delta Outsource Group, Inc.",39,1.1025641025641026
FEARON FINANCIAL LLC,39,1.1025641025641026
"SACOR FINANCIAL, INC",39,1.1025641025641026
Accurate Financial Partners,39,1.1282051282051282
"MOUNTAIN WEST FINANCIAL, INC.",39,1.1282051282051282
QuadPay,39,1.1538461538461537
Fulton Friedman & Gullace LLP,39,1.4102564102564104
United Recovery Solutions,39,1.4102564102564104
"MFP, inc.",39,1.5897435897435896
"Eagle Recovery Associates, Inc.",39,1.8974358974358974
STEWARD FINANCIAL SERVICES LLC,39,1.9487179487179487
"Birchwood Credit Services, Inc.",38,1.0
RMA Credit Association,38,1.0
Centralized Business Solutions Company,38,1.0263157894736843
"R.T.R. Financial Services, Inc.",38,1.0263157894736843
Armed Forces Loans of Nevada Inc.,38,1.0526315789473684
"Elite Financial Services, Inc.",38,1.0526315789473684
"Finance System of Green Bay, Inc.",38,1.0526315789473684
"Longbridge Financial, LLC",38,1.0526315789473684
Mid-Michigan Collection Bureau,38,1.0526315789473684
STATE STREET BANK AND TRUST COMPANY,38,1.0526315789473684
"Scratch Services, Inc.",38,1.0526315789473684
Worth Finance Corporation,38,1.0789473684210527
Premier Holdings,38,1.105263157894737
"Estate Information Services, LLC",38,1.1842105263157894
Stewart Information Services,38,1.1842105263157894
"Russell Collection Agency, Inc",38,1.3157894736842106
"Insikt, Inc.",38,1.5
"World Recovery Service, LLC",38,1.631578947368421
"Accounts Management, Inc",37,1.0
CONTRACT RESOLVE GROUP LLC,37,1.0
FB FINANCIAL CORPORATION,37,1.0
"Heartland Resolution Group, LLC",37,1.0
Physicians & Dentists Credit Bureau,37,1.0
"S & S Recovery, Inc.",37,1.0
Volunteer Mortgage Loan Servicing,37,1.0
Thrift Investment Corp.,37,1.027027027027027
"United Consumer Finance, Inc.",37,1.027027027027027
ADR ARBITRATION SERVICES (Closed),37,1.054054054054054
Collectibles Management Resources,37,1.054054054054054
"Financial Filing & Reporting, Inc.",37,1.054054054054054
National Financial LLC,37,1.0810810810810811
TRINITY HOPE ASSOCIATES,37,1.0810810810810811
"Zakheim Law Group, P.A.",37,1.0810810810810811
"Municipal Collections Services, Inc.",37,1.2162162162162162
UNITED SECURITY FINANCIAL,37,1.2162162162162162
ALLIED MORTGAGE GROUP,37,1.2702702702702702
Streamline Recovery Inc,37,1.2972972972972974
"United Debt Counselors, LLC",37,1.3513513513513513
"Mel S. Harris and Associates, LLC",37,1.4864864864864864
"Mitsubishi Motors North America, Inc.",37,1.4864864864864864
"Protas, Spivok & Collins. LLC",37,1.5405405405405406
Essential Retrieval Group,37,1.7297297297297298
Student Services,37,1.7297297297297298
ALASKA COMMISSION ON POST SECONDARY EDUCATION,36,1.0
"Bursey & Associates, P.C.",36,1.0
"Danco Financial Services, LLC",36,1.0
Island Finance Puerto Rico,36,1.0
"Reimer, Arnovitz, Chernek &Jeffrey Co., LPA",36,1.0
"C & M Associates Group, Inc.",36,1.0277777777777777
Quantum Servicing Corporation,36,1.0277777777777777
"The Law Offices of Jennifer McCoy, PC",36,1.0277777777777777
Charleston Area Medical Center,36,1.0555555555555556
"Commerce Home Mortgage, Inc",36,1.0555555555555556
"Peterson Enterprises, Inc.",36,1.0555555555555556
Cadillac Accounts Receivable Management,36,1.0833333333333333
"First Help Financial, LLC",36,1.0833333333333333
"Liberty Home Equity Solutions, Inc.",36,1.0833333333333333
NCP Finance,36,1.0833333333333333
Pendleton Capital Management,36,1.0833333333333333
"Amcap Investments, LLC",36,1.1111111111111112
MORTGAGE LENDERS OF AMERICA,36,1.1388888888888888
"Recovco Mortgage Management, LLC",36,1.1388888888888888
Bay Equity LLC,36,1.1944444444444444
BUSEY BANK,36,1.2222222222222223
CITYWORTH MORTGAGE LLC,36,1.2222222222222223
"DAS ACQUISITION COMPANY, LLC",36,1.2777777777777777
Lending Solutions Mortgage/ LSI Mortgage,36,1.2777777777777777
Markoff Law LLC,36,1.2777777777777777
Ready Capital Corporation,36,1.3611111111111112
"Union Adjustment Company, Inc.",36,1.3611111111111112
"Receivable Solutions Specialist, Inc.",36,1.4722222222222223
"Northwest Trustee Services, Inc.",36,1.5555555555555556
"Cascade Collections, Inc.",35,1.0
Community Cash Management Corp.,35,1.0
Couch Lambert LLC,35,1.0
Debt Co LLC,35,1.0
"E-Backgroundchecks.com, Inc.",35,1.0
"Emergent Business Group, Inc.",35,1.0
"FCC Finance, LLC",35,1.0
Pioneer Capital Solutions Inc,35,1.0
"UNIVERSAL COLLECTION SYSTEMS, INC",35,1.0
BHFC Financial Services INC,35,1.0285714285714285
Huntington Debt Holding LLC,35,1.0285714285714285
Receivables Management Corporation of America,35,1.0285714285714285
Law Offices of Les Zieve,35,1.0571428571428572
"Michigan Mutual, Inc.",35,1.0571428571428572
Union Credit Corporation,35,1.0571428571428572
HOME FINANCING CENTER,35,1.0857142857142856
"Hameroff Law Group, P.C.",35,1.0857142857142856
Law Office of J.A. Cambece,35,1.1142857142857143
"Sovereign Lending Group, Incorporated",35,1.1142857142857143
"Performance Settlement, LLC",35,1.1714285714285715
"Alco Collections, Inc.",35,1.2
"E. A. Uffman & Associates, Inc",35,1.3714285714285714
PLATINUM HOME MORTGAGE CORPORATION,35,1.3714285714285714
Western Portfolio Assets,35,1.8857142857142857
LAKE MICHIGAN CREDIT UNION,34,1.0
"SandP Solutions, Inc.",34,1.0
"ADP, LLC",34,1.0294117647058822
"Andrews & Cox, P.C.",34,1.0294117647058822
Benworth Capital Partners LLC,34,1.0294117647058822
"General Business Recoveries, Inc.",34,1.0294117647058822
"Lentegrity Management, LLC",34,1.0294117647058822
"Paxful Holdings, Inc.",34,1.0294117647058822
"First Step Group, LLC",34,1.0588235294117647
Lionstone Holdings Group,34,1.0588235294117647
"CDI Affiliated Services, Inc.",34,1.088235294117647
"Harmon Law Offices, P.C.",34,1.088235294117647
RUOFF MORTGAGE,34,1.088235294117647
"Southern Credit Adjusters, Inc.",34,1.088235294117647
"Bilateral Credit Corp, LLC",34,1.1470588235294117
Evergreen Moneysource Mortgage Company,34,1.1470588235294117
CALCON MUTUAL MORTGAGE LLC DBA ONETRUST HOME LOANS,34,1.2058823529411764
"United Military Mortgage, LLC",34,1.2058823529411764
Helbing Law Group,34,1.2352941176470589
Weinman Acquisition Group,34,1.2352941176470589
Niagara Portfolio Solutions LLC,34,1.2647058823529411
Receivable Asset Management,34,1.2941176470588236
Sigue Corp.,34,1.3235294117647058
"HomeTown Lenders, LLC",34,1.3529411764705883
"Asset Management Professionals, LLC",34,1.4705882352941178
"McKellar & Associates Group, Inc.",34,1.6176470588235294
Diversified Recovery Services Inc.,34,1.7941176470588236
"4M Collections, LLC",33,1.0
"ACI Worldwide, Corp.",33,1.0
"Credit Bureau of Jamestown, Inc.",33,1.0
"Esser, James & Associates",33,1.0
"Finkelstein, Kern, Steinberg & Cunningham, PC",33,1.0
"Local Management, LLC",33,1.0
New Mexico Educational Assistance Foundation,33,1.0
"O&L LAW GROUP, P.L.",33,1.0
TOLEDO FINANCE CORPORATION,33,1.0
Prime Recovery LLC,33,1.0303030303030303
Rossman & Co & PCB,33,1.0303030303030303
"Scott Lowery Law Office, P.C.",33,1.0303030303030303
"DApps Platform, Inc.",33,1.0909090909090908
"Vantage Sourcing, LLC",33,1.0909090909090908
Zillow Group Inc.,33,1.0909090909090908
"FIRST COMMUNITY MORTGAGE, INC.",33,1.121212121212121
"Cogent Road, Inc.",33,1.1515151515151516
PERDUE BRANDON FIELDER COLLINS & MOTT LLP,33,1.1515151515151516
Alliance Group & Associates LLC,33,1.1818181818181819
